*         324.994369    0      1     44         8   10        3.324297D-01
*         324.994369    0      1     44         9   10        1.621818D+00
*         312.626633    0      1     43         2    1        4.407930D+00
*         312.626633    0      1     43         3    1        4.596503D+00
*         312.626633    0      1     43         4    1        2.818501D-01
*         312.626633    0      1     43         5    1        6.656673D-01
*         312.626633    0      1     43         6    1        7.822011D-02
*         312.626633    0      1     43         7    1        1.417217D-01
*         312.626633    0      1     43         8    1        2.902466D-04
*         312.626633    0      1     43         9    1        3.067163D-01
*         312.626633    0      1     43        10    1        3.908268D-03
*         312.626633    0      1     43         1    2        4.711381D+00
*         312.626633    0      1     43         3    2        9.112527D-01
*         312.626633    0      1     43         4    2        2.460667D+00
*         312.626633    0      1     43         5    2        1.258501D+00
*         312.626633    0      1     43         6    2        3.101992D-01
*         312.626633    0      1     43         7    2        3.776153D-02
*         312.626633    0      1     43         8    2        1.318760D-02
*         312.626633    0      1     43         9    2        2.479903D-01
*         312.626633    0      1     43        10    2        1.047692D-02
*         312.626633    0      1     43         1    3        3.417040D+00
*         312.626633    0      1     43         2    3        6.337935D-01
*         312.626633    0      1     43         4    3        1.579185D+00
*         312.626633    0      1     43         5    3        2.618716D+00
*         312.626633    0      1     43         6    3        6.936581D-01
*         312.626633    0      1     43         7    3        5.467010D-01
*         312.626633    0      1     43         8    3        9.684128D-03
*         312.626633    0      1     43         9    3        8.828612D-02
*         312.626633    0      1     43        10    3        2.802177D-03
*         312.626633    0      1     43         1    4        2.754781D-01
*         312.626633    0      1     43         2    4        2.250133D+00
*         312.626633    0      1     43         3    4        2.076248D+00
*         312.626633    0      1     43         5    4        4.101587D-01
*         312.626633    0      1     43         6    4        1.008732D+00
*         312.626633    0      1     43         7    4        7.003825D-01
*         312.626633    0      1     43         8    4        2.677978D-01
*         312.626633    0      1     43         9    4        3.386945D-01
*         312.626633    0      1     43        10    4        4.597755D-03
*         312.626633    0      1     43         1    5        4.688735D-01
*         312.626633    0      1     43         2    5        8.293514D-01
*         312.626633    0      1     43         3    5        2.481215D+00
*         312.626633    0      1     43         4    5        2.955845D-01
*         312.626633    0      1     43         6    5        1.909531D+00
*         312.626633    0      1     43         7    5        7.822529D-02
*         312.626633    0      1     43         8    5        1.616618D-02
*         312.626633    0      1     43         9    5        1.825449D+00
