            4819       51 -0.201434802452E-05
            4819       52 -0.188922382326E-05
            4819       53 -0.177367109237E-05
            4819       54 -0.166682459327E-05
            4819       55 -0.156790894057E-05
            4819       56 -0.147622810104E-05
            4819       57 -0.139115625231E-05
            4819       58 -0.131212980849E-05
            4819       59 -0.123864044973E-05
            4819       60 -0.117022901736E-05
            4819       61 -0.110648015686E-05
            4819       62 -0.104701760830E-05
            4819       63 -0.991500058540E-06
            4819       64 -0.939617481748E-06
            4819       65 -0.891087905258E-06
            4819       66 -0.845654546503E-06
            4819       67 -0.803083274402E-06
            4819       68 -0.763160354850E-06
            4819       69 -0.725690445437E-06
            4819       70 -0.690494809182E-06
            4819       71 -0.657409721023E-06
            4819       72 -0.626285044236E-06
            4819       73 -0.596982956906E-06
            4819       74 -0.569376811071E-06
            4819       75 -0.543350109375E-06
            4819       76 -0.518795585937E-06
            4819       77 -0.495614379776E-06
            4819       78 -0.473715290550E-06
            4819       79 -0.453014107626E-06
            4819       80 -0.433433004507E-06
            4819       81 -0.414899991653E-06
            4819       82 -0.397348421493E-06
            4819       83 -0.380716540143E-06
            4819       84 -0.364947081021E-06
            4819       85 -0.349986896019E-06
            4819       86 -0.335786620425E-06
            4819       87 -0.322300368214E-06
            4819       88 -0.309485454668E-06
            4819       89 -0.297302143617E-06
            4819       90 -0.285713416930E-06
            4819       91 -0.274684764062E-06
            4819       92 -0.264183989775E-06
            4819       93 -0.254181038275E-06
            4819       94 -0.244647832236E-06
            4819       95 -0.235558125330E-06
            4819       96 -0.226887366999E-06
            4819       97 -0.218612578368E-06
            4819       98 -0.210712238284E-06
            4819       99 -0.203166178548E-06
            4819      100 -0.195955487567E-06
            4819      101 -0.189062421644E-06
            4820        1 -0.581744833912E-02
            4820        2 -0.361483277219E-02
            4820        3 -0.208017550646E-02
            4820        4 -0.122212518186E-02
            4820        5 -0.724208764351E-03
            4820        6 -0.427746215146E-03
            4820        7 -0.249102720674E-03
            4820        8 -0.141413990719E-03
            4820        9 -0.776089321539E-04
            4820       10 -0.407647299423E-04
            4820       11 -0.197520354399E-04
            4820       12 -0.800208561023E-05
            4820       13 -0.177407063934E-05
            4820       14  0.126746375260E-05
            4820       15  0.255064564450E-05
            4820       16  0.285817018364E-05
            4820       17  0.273359874790E-05
            4820       18  0.242247451532E-05
            4820       19  0.206973624888E-05
            4820       20  0.172886283246E-05
            4820       21  0.142441672347E-05
            4820       22  0.115879367003E-05
            4820       23  0.933339710134E-06
            4820       24  0.748789092662E-06
            4820       25  0.601017426069E-06
            4820       26  0.483583368055E-06
            4820       27  0.390031573072E-06
            4820       28  0.314716238552E-06
            4820       29  0.254587603430E-06
            4820       30  0.207115227948E-06
            4820       31  0.169778185450E-06
            4820       32  0.140741678938E-06
            4820       33  0.118478261633E-06
            4820       34  0.999310408407E-07
            4820       35  0.845268971727E-07
            4820       36  0.718016703200E-07
            4820       37  0.613133938630E-07
            4820       38  0.525968879495E-07
            4820       39  0.452175973270E-07
            4820       40  0.389555117600E-07
            4820       41  0.336425581077E-07
            4820       42  0.291014204134E-07
            4820       43  0.252333227814E-07
            4820       44  0.220751168179E-07
            4820       45  0.193149008145E-07
            4820       46  0.168848060882E-07
            4820       47  0.147938878250E-07
            4820       48  0.129908563959E-07
            4820       49  0.114321997714E-07
            4820       50  0.100815509594E-07
            4820       51  0.890842413128E-08
            4820       52  0.788718986597E-08
            4820       53  0.699624141540E-08
            4820       54  0.621731412761E-08
            4820       55  0.553492810311E-08
            4820       56  0.493593034679E-08
            4820       57  0.440911751622E-08
            4820       58  0.394492416805E-08
            4820       59  0.353516439764E-08
            4820       60  0.317281713683E-08
            4820       61  0.285184725434E-08
            4820       62  0.256705610028E-08
            4820       63  0.231395633328E-08
            4820       64  0.208866682694E-08
            4820       65  0.188782422368E-08
            4820       66  0.170850832591E-08
            4820       67  0.154817901697E-08
            4820       68  0.140462281267E-08
            4820       69  0.127590747588E-08
            4820       70  0.116034339698E-08
            4820       71  0.105645066479E-08
            4820       72  0.962930933551E-09
            4820       73  0.878643340911E-09
            4820       74  0.802583854557E-09
            4820       75  0.733867526723E-09
            4820       76  0.671713219643E-09
            4820       77  0.615430434816E-09
            4820       78  0.564407936770E-09
            4820       79  0.518103910378E-09
            4820       80  0.476037431001E-09
            4820       81  0.437781060533E-09
            4820       82  0.402954410643E-09
            4820       83  0.371218538313E-09
            4820       84  0.342271058706E-09
            4820       85  0.315841877351E-09
            4820       86  0.291689457757E-09
            4820       87  0.269597552742E-09
            4820       88  0.249372337896E-09
            4820       89  0.230839894345E-09
            4820       90  0.213843995314E-09
            4820       91  0.198244157310E-09
            4820       92  0.183913922133E-09
            4820       93  0.170739340477E-09
            4820       94  0.158617631842E-09
            4820       95  0.147455998848E-09
            4820       96  0.137170576923E-09
            4820       97  0.127685502858E-09
            4820       98  0.118932087829E-09
            4820       99  0.110848082363E-09
            4820      100  0.103377022328E-09
            4820      101  0.964676463767E-10
            4821        1 -0.435937086787E-02
            4821        2 -0.271254305136E-02
            4821        3 -0.163199464756E-02
            4821        4 -0.103142784128E-02
            4821        5 -0.680760476055E-03
            4821        6 -0.465794936506E-03
            4821        7 -0.328067283445E-03
            4821        8 -0.236403698553E-03
            4821        9 -0.174686411931E-03
            4821       10 -0.132543871100E-03
            4821       11 -0.102435296565E-03
            4821       12 -0.802285188874E-04
            4821       13 -0.637016799114E-04
            4821       14 -0.512262698798E-04
            4821       15 -0.416463067902E-04
            4821       16 -0.342095853690E-04
            4821       17 -0.283312416660E-04
            4821       18 -0.236514870189E-04
            4821       19 -0.198858971734E-04
            4821       20 -0.168197525773E-04
            4821       21 -0.142999905878E-04
            4821       22 -0.122321652272E-04
            4821       23 -0.105246063251E-04
            4821       24 -0.909020413866E-05
            4821       25 -0.787806643496E-05
            4821       26 -0.685457210625E-05
            4821       27 -0.598620760022E-05
            4821       28 -0.524308149381E-05
            4821       29 -0.460691780441E-05
            4821       30 -0.406176414304E-05
            4821       31 -0.359173599514E-05
            4821       32 -0.318393912477E-05
            4821       33 -0.283017084389E-05
            4821       34 -0.252367247341E-05
            4821       35 -0.225610635108E-05
            4821       36 -0.202163935287E-05
            4821       37 -0.181608529485E-05
            4821       38 -0.163532089005E-05
            4821       39 -0.147551961459E-05
            4821       40 -0.133406551833E-05
            4821       41 -0.120869551313E-05
            4821       42 -0.109716810152E-05
            4821       43 -0.997628732748E-06
            4821       44 -0.908945168673E-06
            4821       45 -0.829529047418E-06
            4821       46 -0.758240056916E-06
            4821       47 -0.694179201182E-06
            4821       48 -0.636505939302E-06
            4821       49 -0.584489323188E-06
            4821       50 -0.537492459404E-06
            4821       51 -0.494959109956E-06
            4821       52 -0.456402380883E-06
            4821       53 -0.421395146328E-06
            4821       54 -0.389561919635E-06
            4821       55 -0.360571934534E-06
            4821       56 -0.334133241187E-06
            4821       57 -0.309987655719E-06
            4821       58 -0.287906429464E-06
            4821       59 -0.267686526684E-06
            4821       60 -0.249147418033E-06
            4821       61 -0.232128312257E-06
            4821       62 -0.216485761097E-06
            4821       63 -0.202091582835E-06
            4821       64 -0.188831058429E-06
            4821       65 -0.176601361401E-06
            4821       66 -0.165310188596E-06
            4821       67 -0.154874563877E-06
            4821       68 -0.145219791046E-06
            4821       69 -0.136278535766E-06
            4821       70 -0.127990019217E-06
